符合條件商品
資料日期：2021年 12月 24日
策略,	02強勢股
203	,6217.TW,中探針,52.1,0.58,917,0.58
204	,2449.TW,京元電子,43.8,0.57,3462,0.57
205	,2867.TW,三商壽,9.15,0.55,2475,0.55
206	,2912.TW,統一超,274.5,0.55,785,0.55
207	,6168.TW,宏齊,27.6,0.55,7582,0.55
208	,2887.TW,台新金,18.75,0.54,9469,0.54
209	,2881.TW,富邦金,75.2,0.53,12165,0.53
210	,6285.TW,啟碁,75.7,0.53,1452,0.53
211	,3231.TW,緯創,29.1,0.52,6088,0.52
212	,3322.TW,建舜電,28.95,0.52,57323,0.52
213	,2913.TW,農林,20,0.5,934,0.5
214	,4906.TW,正文,29.9,0.5,3142,0.5
215	,4958.TW,臻鼎-KY,101,0.5,945,0.5
216	,2547.TW,日勝生,10.25,0.49,1920,0.49
217	,1217.TW,愛之味,10.45,0.48,1157,0.48
218	,5609.TW,中菲行,105.5,0.48,725,0.48
219	,6548.TW,長科*,104,0.48,3698,0.48
220	,1313.TW,聯成,21.45,0.47,2996,0.47
221	,3014.TW,聯陽,107,0.47,1459,0.47
222	,6514.TW,芮特-KY,86.6,0.46,806,0.46
223	,1444.TW,力麗,11.2,0.45,2033,0.45
224	,2006.TW,東和鋼鐵,68.5,0.44,2430,0.44
225	,2323.TW,中環,9.17,0.44,6427,0.44
226	,1723.TW,中碳,117.5,0.43,762,0.43
227	,1101.TW,台泥,47.9,0.42,6034,0.42
228	,3189.TW,景碩,238.5,0.42,5773,0.42
229	,8150.TW,南茂,48.3,0.42,5645,0.42
230	,8271.TW,宇瞻,48,0.42,1566,0.42
231	,1713.TW,國化,24.55,0.41,566,0.41
232	,6239.TW,力成,98.3,0.41,2588,0.41
233	,3437.TW,榮創,25.75,0.39,695,0.39
234	,2329.TW,華泰,26.1,0.38,33633,0.38
235	,6533.TW,晶心科,535,0.38,1600,0.38
236	,6279.TW,胡連,138,0.36,1320,0.36
237	,9907.TW,統一實,14,0.36,1364,0.36
238	,1402.TW,遠東新,28.9,0.35,3789,0.35
239	,2607.TW,榮運,28.45,0.35,2284,0.35
240	,8086.TW,宏捷科,141.5,0.35,1704,0.35
241	,2515.TW,中工,8.88,0.34,1835,0.34
242	,2106.TW,建大,30.55,0.33,729,0.33
243	,2542.TW,興富發,46.2,0.33,3974,0.33
244	,2301.TW,光寶科,62.7,0.32,2363,0.32
245	,3672.TW,康聯訊,46.75,0.32,1883,0.32
246	,5347.TW,世界,156,0.32,3264,0.32
247	,2482.TW,連宇,16.4,0.31,1895,0.31
248	,2834.TW,臺企銀,9.78,0.31,16599,0.31
249	,2801.TW,彰銀,16.75,0.3,4102,0.3
250	,3045.TW,台灣大,99.8,0.3,2077,0.3
251	,5011.TW,久陽,33.85,0.3,1669,0.3
252	,1216.TW,統一,68.5,0.29,1501,0.29
253	,1310.TW,台苯,17.25,0.29,838,0.29
254	,4128.TW,中天,69.7,0.29,3642,0.29
255	,5269.TW,祥碩,1795,0.28,592,0.28
256	,6781.TW,AES-KY,1765,0.28,782,0.28
257	,1308.TW,亞聚,36.7,0.27,7726,0.27
258	,1717.TW,長興,37.15,0.27,2672,0.27
259	,3466.TW,致振,18.8,0.27,719,0.27
260	,6150.TW,撼訊,187.5,0.27,3917,0.27
261	,2101.TW,南港,38.85,0.26,709,0.26
262	,2367.TW,燿華,20.25,0.25,12628,0.25
263	,6026.TW,福邦證,20.35,0.25,3896,0.25
264	,1608.TW,華榮,21.95,0.23,935,0.23
265	,1513.TW,中興電,44.9,0.22,3610,0.22
266	,2382.TW,廣達,90.5,0.22,4100,0.22
267	,6188.TW,廣明,46.45,0.22,2741,0.22
268	,2892.TW,第一金,24.2,0.21,5373,0.21
269	,2885.TW,元大金,25,0.2,6312,0.2
270	,5880.TW,合庫金,25.05,0.2,4933,0.2
271	,1802.TW,台玻,26.6,0.19,3371,0.19
272	,2308.TW,台達電,270.5,0.19,2161,0.19
273	,2610.TW,華航,26.2,0.19,155939,0.19
274	,8121.TW,越峰,54.1,0.19,629,0.19
275	,9919.TW,康那香,25.8,0.19,699,0.19
276	,1312.TW,國喬,28.4,0.18,8302,0.18
277	,2884.TW,玉山金,27.95,0.18,7449,0.18
278	,3406.TW,玉晶光,545,0.18,1512,0.18
279	,4961.TW,天鈺,282.5,0.18,9629,0.18
280	,2633.TW,台灣高鐵,29.4,0.17,2095,0.17
281	,2634.TW,漢翔,29.4,0.17,801,0.17
282	,6257.TW,矽格,58.9,0.17,1750,0.17
283	,2535.TW,達欣工,32.25,0.16,560,0.16
284	,1309.TW,台達化,33.95,0.15,743,0.15
285	,2614.TW,東森,32.85,0.15,9744,0.15
286	,4916.TW,事欣科,32.35,0.15,1584,0.15
287	,6147.TW,頎邦,66.1,0.15,3402,0.15
288	,2002.TW,中鋼,35.55,0.14,26979,0.14
289	,3508.TW,位速,69.1,0.14,2302,0.14
290	,6770.TW,力積電,70.4,0.14,8174,0.14
291	,3056.TW,總太,40.3,0.12,614,0.12
292	,8112.TW,至上,47.2,0.11,2186,0.11
293	,1718.TW,中纖,10,0.1,2901,0.1
294	,1210.TW,大成,52.7,0,682,0
295	,1229.TW,聯華,59.8,0,1694,0
296	,1305.TW,華夏,34.6,0,3433,0
297	,1326.TW,台化,80.4,0,1202,0
298	,1414.TW,東和,19.75,0,1128,0
299	,1447.TW,力鵬,10.25,0,1430,0
300	,1455.TW,集盛,16.5,0,1815,0
301	,1457.TW,宜進,18.6,0,650,0
302	,1504.TW,東元,31,0,1370,0
303	,2208.TW,台船,21.45,0,900,0
304	,2231.TW,為升,188.5,0,2744,0
305	,2317.TW,鴻海,104,0,11662,0
306	,2328.TW,廣宇,39.45,0,2344,0
307	,2349.TW,錸德,9.97,0,5898,0
308	,2352.TW,佳世達,30.05,0,1927,0
309	,2354.TW,鴻準,64.6,0,1321,0
310	,2363.TW,矽統,25.5,0,5923,0
311	,2385.TW,群光,82.2,0,1155,0
312	,2392.TW,正崴,39,0,730,0
313	,2412.TW,中華電,115.5,0,7854,0
314	,2458.TW,義隆,169,0,1095,0
315	,2504.TW,國產,29,0,2974,0
316	,2520.TW,冠德,37.45,0,968,0
317	,2534.TW,宏盛,24.1,0,1660,0
318	,2603.TW,長榮,139,0,54760,0
319	,2609.TW,陽明,122.5,0,25692,0
320	,2809.TW,京城銀,40.35,0,2840,0
321	,2812.TW,台中銀,12.05,0,3100,0
322	,2836.TW,高雄銀,11.9,0,580,0
323	,2838.TW,聯邦銀,13.05,0,1185,0
324	,2845.TW,遠東銀,10.7,0,4568,0
325	,2880.TW,華南金,20.95,0,7113,0
326	,2886.TW,兆豐金,35.5,0,9629,0
327	,2889.TW,國票金,15.85,0,2532,0
328	,2897.TW,王道銀行,7.89,0,1673,0
329	,3010.TW,華立,104.5,0,2734,0
330	,3202.TW,樺晟,16.8,0,545,0
331	,3312.TW,弘憶股,24.05,0,588,0
332	,3413.TW,京鼎,243,0,1116,0
333	,3481.TW,群創,19.05,0,58572,0
334	,3530.TW,晶相光,137,0,635,0
335	,3596.TW,智易,124.5,0,3815,0
336	,3682.TW,亞太電,8.19,0,1945,0
337	,3691.TW,碩禾,205,0,3226,0
338	,4714.TW,永捷,14.4,0,806,0
339	,4746.TW,台耀,58.5,0,613,0
340	,4904.TW,遠傳,63.9,0,2391,0
341	,4938.TW,和碩,68.7,0,3047,0
342	,5521.TW,工信,8.39,0,623,0
343	,5876.TW,上海商銀,47.4,0,1147,0
344	,6005.TW,群益證,16.55,0,1811,0
345	,6015.TW,宏遠證,17,0,636,0
346	,6116.TW,彩晶,17.15,0,16478,0
347	,6125.TW,廣運,26.45,0,1394,0
348	,6134.TW,萬旭,28.35,0,741,0
349	,6142.TW,友勁,11.4,0,514,0
350	,6143.TW,振曜,58.7,0,4402,0
351	,6414.TW,樺漢,225,0,772,0
352	,6488.TW,環球晶,846,0,1501,0
353	,6547.TW,高端疫苗,293,0,778,0
354	,6591.TW,動力-KY,60.1,0,926,0
355	,6706.TW,惠特,215.5,0,1268,0
356	,8011.TW,台通,19.4,0,610,0
357	,8016.TW,矽創,320.5,0,2141,0
358	,8076.TW,伍豐,34.5,0,6871,0
359	,8103.TW,瀚荃,48.7,0,803,0
360	,8358.TW,金居,78.4,0,5854,0
361	,8933.TW,愛地雅,13.1,0,1722,0
362	,1102.TW,亞泥,44.25,-0.11,2659,-0.11
363	,1536.TW,和大,90.8,-0.11,725,-0.11
364	,5512.TW,力麒,9.35,-0.11,545,-0.11
365	,6170.TW,統振,46.75,-0.11,1451,-0.11
366	,6261.TW,久元,82.9,-0.12,513,-0.12
367	,9933.TW,中鼎,37,-0.13,890,-0.13
368	,2451.TW,創見,73.8,-0.14,1625,-0.14
369	,6209.TW,今國光,36.1,-0.14,936,-0.14
370	,3036.TW,文曄,64.8,-0.15,1582,-0.15
371	,1304.TW,台聚,31.2,-0.16,4281,-0.16
372	,2371.TW,大同,31.6,-0.16,14095,-0.16
373	,3149.TW,正達,31.55,-0.16,672,-0.16
374	,6271.TW,同欣電,293.5,-0.17,1853,-0.17
375	,2104.TW,國際中橡,27.5,-0.18,4828,-0.18
376	,6288.TW,聯嘉,27.35,-0.18,595,-0.18
377	,1711.TW,永光,26.2,-0.19,5595,-0.19
378	,2393.TW,億光,51.9,-0.19,1659,-0.19
379	,2891.TW,中信金,25.85,-0.19,11731,-0.19
380	,3141.TW,晶宏,262.5,-0.19,15876,-0.19
381	,3591.TW,艾笛森,23.55,-0.21,718,-0.21
382	,3290.TW,東浦,22.5,-0.22,1219,-0.22
383	,5483.TW,中美晶,228.5,-0.22,7101,-0.22
384	,1710.TW,東聯,22.1,-0.23,2555,-0.23
385	,3576.TW,聯合再生,21.7,-0.23,3993,-0.23
386	,2337.TW,旺宏,41.25,-0.24,6013,-0.24
387	,1409.TW,新纖,20.05,-0.25,1847,-0.25
388	,3324.TW,雙鴻,202.5,-0.25,1163,-0.25
389	,2408.TW,南亞科,75.7,-0.26,6948,-0.26
390	,2476.TW,鉅祥,77.7,-0.26,32020,-0.26
391	,2939.TW,凱羿-KY,37.9,-0.26,553,-0.26
392	,3533.TW,嘉澤,754,-0.26,673,-0.26
393	,2357.TW,華碩,370,-0.27,1378,-0.27
394	,6205.TW,詮欣,74.4,-0.27,5164,-0.27
395	,6219.TW,富旺,17.9,-0.28,2177,-0.28
396	,8070.TW,長華*,34.35,-0.29,2487,-0.29
397	,2377.TW,微星,160.5,-0.31,1441,-0.31
398	,2890.TW,永豐金,15.95,-0.31,6813,-0.31
399	,8213.TW,志超,47.9,-0.31,519,-0.31
400	,1460.TW,宏遠,9.43,-0.32,1748,-0.32
401	,2330.TW,台積電,604,-0.33,12009,-0.33
402	,2353.TW,宏碁,29.85,-0.33,7509,-0.33
403	,3346.TW,麗清,44.65,-0.33,538,-0.33
404	,4306.TW,炎洲,15.2,-0.33,640,-0.33
405	,2313.TW,華通,43.9,-0.34,12548,-0.34
406	,4142.TW,國光生,44.25,-0.34,598,-0.34
407	,4739.TW,康普,147,-0.34,6776,-0.34
408	,4903.TW,聯光通,14.65,-0.34,502,-0.34
409	,3228.TW,金麗科,425,-0.35,737,-0.35
410	,3673.TW,TPK-KY,42.8,-0.35,998,-0.35
411	,6016.TW,康和證,14.05,-0.35,956,-0.35
412	,2637.TW,慧洋-KY,82.8,-0.36,5630,-0.36
413	,4968.TW,立積,275.5,-0.36,1443,-0.36
414	,1605.TW,華新,26.25,-0.38,3034,-0.38
415	,2345.TW,智邦,259,-0.38,1079,-0.38
416	,2538.TW,基泰,12.35,-0.4,917,-0.4
417	,3615.TW,安可,24.1,-0.41,1153,-0.41
418	,8299.TW,群聯,487.5,-0.41,2668,-0.41
419	,1528.TW,恩德,11.9,-0.42,673,-0.42
420	,2069.TW,運錩,35.35,-0.42,994,-0.42
421	,3037.TW,欣興,239,-0.42,26941,-0.42
422	,4967.TW,十銓,47.75,-0.42,1858,-0.42
423	,4105.TW,東洋,68.5,-0.44,502,-0.44
424	,6251.TW,定穎,22.45,-0.44,2780,-0.44
425	,1442.TW,名軒,21.6,-0.46,693,-0.46
426	,1714.TW,和桐,10.85,-0.46,1649,-0.46
427	,6202.TW,盛群,107.5,-0.46,747,-0.46
428	,1301.TW,台塑,104,-0.48,3493,-0.48
429	,6269.TW,台郡,104,-0.48,858,-0.48
430	,8021.TW,尖點,41.1,-0.48,844,-0.48
431	,2360.TW,致茂,205,-0.49,594,-0.49
432	,2537.TW,聯上發,10.2,-0.49,905,-0.49
433	,6163.TW,華電網,20.35,-0.49,1047,-0.49
434	,6274.TW,台燿,102.5,-0.49,795,-0.49
435	,1727.TW,中華化,49.4,-0.5,5539,-0.5
436	,2615.TW,萬海,199,-0.5,25162,-0.5
437	,2425.TW,承啟,29.3,-0.51,965,-0.51
438	,8289.TW,泰藝,38.8,-0.51,1465,-0.51
439	,1515.TW,力山,56.8,-0.53,509,-0.53
440	,1560.TW,中砂,94.7,-0.53,5846,-0.53
441	,3687.TW,歐買尬,188,-0.53,856,-0.53
442	,5608.TW,四維航,46.6,-0.53,3955,-0.53
443	,5471.TW,松翰,91.1,-0.55,520,-0.55
444	,6265.TW,方土昶,17.8,-0.56,2349,-0.56
445	,8171.TW,天宇,53.5,-0.56,607,-0.56
446	,2486.TW,一詮,52.1,-0.57,2319,-0.57
447	,2489.TW,瑞軒,17.35,-0.57,2237,-0.57
448	,1722.TW,台肥,68.7,-0.58,1961,-0.58
449	,6284.TW,佳邦,68.2,-0.58,1507,-0.58
450	,1471.TW,首利,8.41,-0.59,632,-0.59
451	,3703.TW,欣陸,25.15,-0.59,839,-0.59
452	,3706.TW,神達,33.8,-0.59,3972,-0.59
453	,6531.TW,愛普*,496,-0.6,3137,-0.6
454	,3008.TW,大立光,2445,-0.61,852,-0.61
455	,3058.TW,立德,16.35,-0.61,688,-0.61
456	,5478.TW,智冠,97,-0.61,715,-0.61
457	,1809.TW,中釉,16.1,-0.62,6029,-0.62
458	,2436.TW,偉詮電,95.4,-0.62,5498,-0.62
459	,2327.TW,國巨,473,-0.63,3478,-0.63
460	,2419.TW,仲琦,23.7,-0.63,1144,-0.63
461	,1570.TW,力肯,23.25,-0.64,701,-0.64
462	,2456.TW,奇力新,93.4,-0.64,1086,-0.64
463	,1474.TW,弘裕,15.4,-0.65,698,-0.65
464	,3339.TW,泰谷,22.8,-0.65,914,-0.65
465	,8215.TW,明基材,38.3,-0.65,3497,-0.65
466	,1454.TW,台富,14.8,-0.67,709,-0.67
467	,3105.TW,穩懋,370,-0.67,2417,-0.67
468	,5009.TW,榮剛,22.2,-0.67,4719,-0.67
469	,6485.TW,點序,148,-0.67,1153,-0.67
470	,2038.TW,海光,35.75,-0.69,1677,-0.69
471	,2485.TW,兆赫,21.4,-0.7,1638,-0.7
472	,6156.TW,松上,20.9,-0.71,1289,-0.71
473	,3374.TW,精材,137.5,-0.72,610,-0.72
474	,2636.TW,台驊投控,135.5,-0.73,1091,-0.73
475	,8182.TW,加高,54.7,-0.73,615,-0.73
476	,2611.TW,志信,20,-0.74,916,-0.74
477	,2641.TW,正德,26.85,-0.74,1922,-0.74
478	,3363.TW,上詮,33.45,-0.74,558,-0.74
479	,1227.TW,佳格,52.9,-0.75,1160,-0.75
480	,2442.TW,新美齊,13.2,-0.75,1709,-0.75
481	,2511.TW,太子,13.2,-0.75,1015,-0.75
482	,3708.TW,上緯投控,92.3,-0.75,666,-0.75
483	,1440.TW,南紡,25.75,-0.77,16774,-0.77
484	,2401.TW,凌陽,38.45,-0.77,4154,-0.77
485	,2601.TW,益航,12.95,-0.77,3987,-0.77
486	,3078.TW,僑威,38.9,-0.77,704,-0.77
487	,3260.TW,威剛,90.5,-0.77,3238,-0.77
488	,8027.TW,鈦昇,76.9,-0.77,1106,-0.77
489	,3048.TW,益登,31.95,-0.78,604,-0.78
490	,3499.TW,環天科,25.6,-0.78,3100,-0.78
491	,3714.TW,富采,76.2,-0.78,2018,-0.78
492	,4770.TW,上品,252.5,-0.79,640,-0.79
493	,1314.TW,中石化,12.45,-0.8,29452,-0.8
494	,1609.TW,大亞,24.75,-0.8,2263,-0.8
495	,2498.TW,宏達電,86.4,-0.8,115396,-0.8
496	,2617.TW,台航,37.25,-0.8,2362,-0.8
497	,3710.TW,連展投控,9.86,-0.8,1015,-0.8
498	,3029.TW,零壹,42.9,-0.81,1385,-0.81
