符合條件商品
資料日期：2021年 12月 24日
策略,	01量放大股
54	,3383.TW,新世紀,5.74,9.96,1290,3.49
55	,5392.TW,能率,26.1,3.37,1024,3.42
56	,8069.TW,元太,148,3.86,54679,3.42
57	,3023.TW,信邦,289.5,9.87,3251,3.34
58	,2359.TW,所羅門,18.85,3.57,3745,3.2
59	,5315.TW,光聯,18.6,1.92,1587,3.19
60	,3049.TW,和鑫,16.25,5.18,73679,3.18
61	,2329.TW,華泰,26.1,0.38,33633,3.18
62	,8201.TW,無敵,17.75,-2.47,29513,3.07
63	,3029.TW,零壹,42.9,-0.81,1385,3.02
64	,2201.TW,裕隆,42.3,0.83,4419,3.02
65	,1477.TW,聚陽,250.5,0.8,1082,2.95
66	,1809.TW,中釉,16.1,-0.62,6029,2.91
67	,1312.TW,國喬,28.4,0.18,8302,2.88
68	,1314.TW,中石化,12.45,-0.8,29452,2.87
69	,6282.TW,康舒,39.95,9.9,105501,2.87
70	,3380.TW,明泰,33.4,1.83,5046,2.83
71	,5258.TW,虹堡,41.3,2.86,16399,2.81
72	,2614.TW,東森,32.85,0.15,9744,2.73
73	,3372.TW,典範,24.6,2.07,1799,2.72
74	,4414.TW,如興,7.11,3.34,7003,2.71
75	,3038.TW,全台,19.65,2.08,1327,2.71
76	,6207.TW,雷科,38.8,9.92,11116,2.66
77	,3011.TW,今皓,11.75,0.86,1595,2.62
78	,8054.TW,安國,61.7,0.82,3330,2.53
79	,1524.TW,耿鼎,11.15,2.76,1182,2.53
80	,2618.TW,長榮航,26.8,0.75,119391,2.44
81	,3041.TW,揚智,38.85,2.78,49676,2.37
82	,2897.TW,王道銀行,7.89,0,1673,2.36
83	,1909.TW,榮成,24.55,1.45,15339,2.35
84	,5234.TW,達興材料,134,4.28,1636,2.34
85	,3305.TW,昇貿,82.2,-3.29,27552,2.33
86	,3669.TW,圓展,61.2,3.38,14882,2.29
87	,2344.TW,華邦電,31.65,0.64,47165,2.28
88	,1584.TW,精剛,18.2,2.82,1188,2.27
89	,6158.TW,禾昌,43.95,3.17,12882,2.27
90	,3545.TW,敦泰,167.5,-1.76,5223,2.26
91	,3322.TW,建舜電,28.95,0.52,57323,2.25
92	,1904.TW,正隆,35.9,2.43,10946,2.24
93	,6538.TW,倉和,94.9,9.97,3415,2.23
94	,9945.TW,潤泰新,63.3,1.28,5477,2.21
95	,8421.TW,旭源,15,9.89,1730,2.13
96	,4945.TW,陞達科技,87.2,9.96,1768,2.13
97	,2355.TW,敬鵬,37.3,1.77,12651,2.12
98	,8114.TW,振樺電,122,1.24,1130,2.1
99	,3031.TW,佰鴻,25.55,1.39,2343,2.07
100	,2029.TW,盛餘,33.25,-2.92,1524,2.05
101	,6548.TW,長科*,104,0.48,3698,2
102	,3310.TW,佳穎,33.55,-3.87,1275,1.98
103	,2454.TW,聯發科,1120,2.28,5416,1.95
104	,2365.TW,昆盈,11.7,0.86,1745,1.92
105	,3071.TW,協禧,28.65,2.87,4725,1.92
106	,2882.TW,國泰金,61.1,0.99,21549,1.9
107	,5251.TW,天鉞電,19.2,-9.86,3905,1.88
108	,4961.TW,天鈺,282.5,0.18,9629,1.86
109	,8464.TW,億豐,418.5,2.32,1016,1.85
110	,2374.TW,佳能,30.45,9.93,118813,1.84
111	,6190.TW,萬泰科,42.4,-1.17,44040,1.82
112	,2417.TW,圓剛,30,9.89,14527,1.82
113	,3615.TW,安可,24.1,-0.41,1153,1.81
114	,4960.TW,誠美材,13.05,1.56,7307,1.81
115	,1514.TW,亞力,25.6,0.99,1360,1.8
116	,6127.TW,九豪,28.15,-2.09,1250,1.8
117	,2231.TW,為升,188.5,0,2744,1.77
118	,2610.TW,華航,26.2,0.19,155939,1.77
119	,1460.TW,宏遠,9.43,-0.32,1748,1.77
120	,1227.TW,佳格,52.9,-0.75,1160,1.74
121	,6505.TW,台塑化,96.8,0.62,1847,1.74
122	,6266.TW,泰詠,25.85,5.73,25677,1.74
123	,2402.TW,毅嘉,17.15,0.59,1002,1.74
124	,6168.TW,宏齊,27.6,0.55,7582,1.74
125	,3276.TW,宇環,21.15,9.02,5449,1.73
126	,1304.TW,台聚,31.2,-0.16,4281,1.71
127	,4755.TW,三福化,141.5,9.69,10575,1.7
128	,3691.TW,碩禾,205,0,3226,1.7
129	,6243.TW,迅杰,60,1.87,2720,1.66
130	,5227.TW,立凱-KY,83,7.1,5481,1.66
131	,2455.TW,全新,145.5,1.75,3163,1.66
132	,1316.TW,上曜,20.2,1,5069,1.64
133	,3014.TW,聯陽,107,0.47,1459,1.63
134	,2034.TW,允強,32.3,-0.92,1169,1.63
135	,2368.TW,金像電,79.5,4.47,44717,1.62
136	,2845.TW,遠東銀,10.7,0,4568,1.62
137	,9958.TW,世紀鋼,110.5,-0.9,1752,1.59
138	,8936.TW,國統,21.7,1.4,2033,1.59
139	,1808.TW,潤隆,54.2,-4.91,1520,1.58
140	,2601.TW,益航,12.95,-0.77,3987,1.57
141	,2834.TW,臺企銀,9.78,0.31,16599,1.56
142	,4513.TW,福裕,16.25,3.5,2656,1.55
143	,4726.TW,永昕,38,-5,1452,1.54
144	,2440.TW,太空梭,20.15,4.4,7253,1.52
145	,2363.TW,矽統,25.5,0,5923,1.51
146	,6275.TW,元山,38.25,2,2939,1.51
147	,3484.TW,崧騰,94.2,5.25,18388,1.51
148	,3624.TW,光頡,66.7,7.58,33103,1.51
149	,2017.TW,官田鋼,20.25,-0.98,1067,1.48
150	,8431.TW,匯鑽科,68.7,-4.72,1681,1.48
151	,3059.TW,華晶科,50.8,1.6,75094,1.48
152	,4123.TW,晟德,61,-2.56,2792,1.46
153	,3306.TW,鼎天,33.4,0.91,1596,1.45
154	,6457.TW,紘康,196,-4.16,1113,1.45
155	,6492.TW,生華科,105,-6.67,1586,1.44
156	,3672.TW,康聯訊,46.75,0.32,1883,1.42
157	,1313.TW,聯成,21.45,0.47,2996,1.41
158	,2887.TW,台新金,18.75,0.54,9469,1.41
159	,5009.TW,榮剛,22.2,-0.67,4719,1.41
160	,5285.TW,界霖,106,1.44,1792,1.4
161	,2838.TW,聯邦銀,13.05,0,1185,1.4
162	,2030.TW,彰源,30.45,-1.62,3541,1.4
163	,5475.TW,德宏,35.6,-1.11,9674,1.39
164	,6129.TW,普誠,36.8,3.08,8880,1.39
165	,2007.TW,燁興,21.4,-0.93,1454,1.38
166	,1517.TW,利奇,26.95,-0.92,1079,1.38
167	,3661.TW,世芯-KY,991,-2.84,1654,1.37
168	,1217.TW,愛之味,10.45,0.48,1157,1.37
169	,5309.TW,系統電,39.95,-2.92,3673,1.36
170	,2027.TW,大成鋼,46.8,-1.16,13149,1.36
171	,6167.TW,久正,15.6,-3.11,7242,1.36
172	,3060.TW,銘異,25.6,-3.03,3567,1.35
173	,2880.TW,華南金,20.95,0,7113,1.35
174	,6196.TW,帆宣,158.5,-4.52,8899,1.35
175	,8092.TW,建暐,13.35,9.88,1938,1.32
176	,2812.TW,台中銀,12.05,0,3100,1.32
177	,4916.TW,事欣科,32.35,0.15,1584,1.32
178	,2881.TW,富邦金,75.2,0.53,12165,1.31
179	,2481.TW,強茂,107.5,-3.59,21046,1.31
180	,2607.TW,榮運,28.45,0.35,2284,1.31
181	,3105.TW,穩懋,370,-0.67,2417,1.31
182	,6533.TW,晶心科,535,0.38,1600,1.31
183	,9962.TW,有益,18.15,-1.89,1261,1.3
184	,9904.TW,寶成,32.95,0.76,2550,1.29
185	,3013.TW,晟銘電,15.95,3.91,5933,1.29
186	,6126.TW,信音,28.25,-1.22,1566,1.29
187	,6239.TW,力成,98.3,0.41,2588,1.24
188	,2405.TW,浩鑫,19.7,2.34,10365,1.24
189	,3675.TW,德微,274.5,-1.96,1789,1.24
190	,2498.TW,宏達電,86.4,-0.8,115396,1.23
191	,6147.TW,頎邦,66.1,0.15,3402,1.23
192	,3294.TW,英濟,33.45,-0.89,12126,1.23
193	,4128.TW,中天,69.7,0.29,3642,1.23
194	,8074.TW,鉅橡,21.1,-2.99,1900,1.23
195	,2485.TW,兆赫,21.4,-0.7,1638,1.22
196	,9907.TW,統一實,14,0.36,1364,1.22
197	,3221.TW,台嘉碩,40.2,-1.11,1891,1.2
198	,5425.TW,台半,78.9,-3.66,19211,1.2
199	,3576.TW,聯合再生,21.7,-0.23,3993,1.2
200	,3444.TW,利機,62.8,1.29,1346,1.2
201	,3508.TW,位速,69.1,0.14,2302,1.19
202	,3406.TW,玉晶光,545,0.18,1512,1.18
203	,1717.TW,長興,37.15,0.27,2672,1.18
204	,1504.TW,東元,31,0,1370,1.17
205	,3704.TW,合勤控,34.05,-0.87,5670,1.16
206	,6244.TW,茂迪,36,-1.91,6309,1.16
207	,6443.TW,元晶,40.7,-2.16,22952,1.15
208	,2617.TW,台航,37.25,-0.8,2362,1.15
209	,2038.TW,海光,35.75,-0.69,1677,1.14
210	,6456.TW,GIS-KY,103.5,0.98,1227,1.14
211	,2023.TW,燁輝,25.4,-1.36,10388,1.14
212	,2482.TW,連宇,16.4,0.31,1895,1.14
213	,6251.TW,定穎,22.45,-0.44,2780,1.13
214	,2442.TW,新美齊,13.2,-0.75,1709,1.13
215	,1303.TW,南亞,85.9,0.59,4650,1.12
216	,1708.TW,東鹼,33,-1.05,2136,1.12
217	,2028.TW,威致,44.2,-1.56,1977,1.11
218	,5488.TW,松普,9.85,-2.48,1272,1.11
219	,6257.TW,矽格,58.9,0.17,1750,1.1
220	,6180.TW,橘子,66.8,-2.2,4885,1.1
221	,2511.TW,太子,13.2,-0.75,1015,1.1
222	,2547.TW,日勝生,10.25,0.49,1920,1.09
223	,1785.TW,光洋科,49.4,-0.9,2850,1.09
224	,3036.TW,文曄,64.8,-0.15,1582,1.08
225	,1305.TW,華夏,34.6,0,3433,1.08
226	,2104.TW,國際中橡,27.5,-0.18,4828,1.08
227	,5014.TW,建錩,21.7,-1.36,1130,1.07
228	,2303.TW,聯電,64.3,0.63,75488,1.07
229	,2103.TW,台橡,40.5,-2.53,10875,1.06
230	,8016.TW,矽創,320.5,0,2141,1.06
231	,2401.TW,凌陽,38.45,-0.77,4154,1.06
232	,2633.TW,台灣高鐵,29.4,0.17,2095,1.05
233	,2049.TW,上銀,297,0.85,1463,1.05
234	,6285.TW,啟碁,75.7,0.53,1452,1.05
235	,2603.TW,長榮,139,0,54760,1.05
236	,3017.TW,奇鋐,87.7,0.8,3644,1.04
237	,1414.TW,東和,19.75,0,1128,1.04
238	,6118.TW,建達,44.6,0.9,1249,1.04
239	,3711.TW,日月光投控,105,1.45,10515,1.03
240	,3605.TW,宏致,49.7,-2.36,5034,1.03
241	,8104.TW,錸寶,77.4,1.71,17698,1.03
242	,6706.TW,惠特,215.5,0,1268,1.03
243	,4968.TW,立積,275.5,-0.36,1443,1.01
244	,3526.TW,凡甲,193,2.93,6441,1.01
245	,3264.TW,欣銓,55.3,0.91,3410,1.01
246	,1815.TW,富喬,17.75,1.43,15998,1.01
247	,1722.TW,台肥,68.7,-0.58,1961,1
248	,3045.TW,台灣大,99.8,0.3,2077,1
249	,2615.TW,萬海,199,-0.5,25162,1
250	,1447.TW,力鵬,10.25,0,1430,1
251	,2605.TW,新興,29.55,-1.5,5791,1
252	,2382.TW,廣達,90.5,0.22,4100,0.99
253	,3338.TW,泰碩,54.7,-1.44,3481,0.99
254	,3607.TW,谷崧,17.7,-2.21,7120,0.99
255	,6005.TW,群益證,16.55,0,1811,0.98
256	,3324.TW,雙鴻,202.5,-0.25,1163,0.98
257	,8478.TW,東哥遊艇,155.5,-6.61,2540,0.98
258	,6446.TW,藥華藥,288,0.7,1895,0.97
259	,4743.TW,合一,287,-1.37,1541,0.96
260	,2108.TW,南帝,84.6,-1.74,3551,0.96
261	,1455.TW,集盛,16.5,0,1815,0.95
262	,1795.TW,美時,96.2,-1.54,2408,0.95
263	,8415.TW,大國鋼,38.4,-1.16,4310,0.94
264	,2406.TW,國碩,35.1,-1.4,6191,0.94
265	,3167.TW,大量,104,-6.73,6356,0.94
266	,2314.TW,台揚,73.4,-1.21,1776,0.93
267	,3689.TW,湧德,50.4,-4.73,26729,0.93
268	,5371.TW,中光電,83.8,-1.3,2676,0.93
269	,2390.TW,云辰,22.4,-0.88,1372,0.93
270	,3682.TW,亞太電,8.19,0,1945,0.92
271	,1710.TW,東聯,22.1,-0.23,2555,0.92
272	,1402.TW,遠東新,28.9,0.35,3789,0.92
273	,5383.TW,金利,46.7,-5.37,1512,0.91
274	,4967.TW,十銓,47.75,-0.42,1858,0.91
275	,4906.TW,正文,29.9,0.5,3142,0.91
276	,1810.TW,和成,17.8,1.42,3320,0.91
277	,1721.TW,三晃,28.9,0.87,30938,0.9
278	,5351.TW,鈺創,92.4,-0.86,32093,0.9
279	,3028.TW,增你強,33.3,-1.19,1011,0.9
280	,2867.TW,三商壽,9.15,0.55,2475,0.89
281	,1409.TW,新纖,20.05,-0.25,1847,0.89
282	,1301.TW,台塑,104,-0.48,3493,0.89
283	,2426.TW,鼎元,29.7,2.41,22875,0.89
284	,2884.TW,玉山金,27.95,0.18,7449,0.88
285	,6175.TW,立敦,47.7,0.63,2614,0.88
286	,2515.TW,中工,8.88,0.34,1835,0.87
287	,1732.TW,毛寶,32.9,1.39,1722,0.87
288	,1718.TW,中纖,10,0.1,2901,0.87
289	,8271.TW,宇瞻,48,0.42,1566,0.87
290	,2010.TW,春源,24.6,-2.38,5298,0.86
291	,2492.TW,華新科,166,-1.78,2720,0.86
292	,6770.TW,力積電,70.4,0.14,8174,0.86
293	,3546.TW,宇峻,92,-1.92,1476,0.86
294	,3481.TW,群創,19.05,0,58572,0.86
295	,6568.TW,宏觀,382.5,1.73,1521,0.85
296	,6116.TW,彩晶,17.15,0,16478,0.85
297	,4976.TW,佳凌,68.8,-1.29,1092,0.85
298	,2641.TW,正德,26.85,-0.74,1922,0.85
299	,2317.TW,鴻海,104,0,11662,0.84
300	,6120.TW,達運,14.1,-1.74,5240,0.83
301	,2889.TW,國票金,15.85,0,2532,0.83
302	,1611.TW,中電,21.35,-3.39,20676,0.83
303	,3207.TW,耀勝,23.25,-1.48,1567,0.83
304	,2331.TW,精英,22.2,-1.33,2506,0.83
305	,2328.TW,廣宇,39.45,0,2344,0.82
306	,5344.TW,立衛,37.85,9.87,1501,0.82
307	,2105.TW,正新,36.05,0.7,2275,0.82
308	,2388.TW,威盛,87.7,-1.9,16140,0.82
309	,2801.TW,彰銀,16.75,0.3,4102,0.82
310	,2636.TW,台驊投控,135.5,-0.73,1091,0.82
311	,3019.TW,亞光,92.7,-1.17,2459,0.82
312	,1714.TW,和桐,10.85,-0.46,1649,0.81
313	,3714.TW,富采,76.2,-0.78,2018,0.81
314	,2337.TW,旺宏,41.25,-0.24,6013,0.81
315	,2351.TW,順德,162,1.25,1370,0.81
316	,8150.TW,南茂,48.3,0.42,5645,0.8
317	,6156.TW,松上,20.9,-0.71,1289,0.8
318	,6219.TW,富旺,17.9,-0.28,2177,0.8
319	,5607.TW,遠雄港,66.1,-1.34,1304,0.8
320	,3006.TW,晶豪科,165.5,-2.07,7573,0.79
321	,2409.TW,友達,22.45,1.13,49700,0.78
322	,2313.TW,華通,43.9,-0.34,12548,0.78
323	,2419.TW,仲琦,23.7,-0.63,1144,0.78
324	,8255.TW,朋程,242,-2.42,10662,0.77
325	,2340.TW,台亞,73.2,9.91,64024,0.77
326	,2883.TW,開發金,16.85,0.9,66006,0.77
327	,3231.TW,緯創,29.1,0.52,6088,0.77
328	,1605.TW,華新,26.25,-0.38,3034,0.77
329	,1609.TW,大亞,24.75,-0.8,2263,0.76
330	,2377.TW,微星,160.5,-0.31,1441,0.76
331	,2474.TW,可成,156,0.65,1219,0.76
332	,5347.TW,世界,156,0.32,3264,0.76
333	,2013.TW,中鋼構,60.2,-2.9,3897,0.76
334	,4938.TW,和碩,68.7,0,3047,0.75
335	,6138.TW,茂達,254.5,-2.86,6282,0.75
336	,3128.TW,昇銳,22.9,-2.14,1769,0.75
337	,2534.TW,宏盛,24.1,0,1660,0.75
338	,4904.TW,遠傳,63.9,0,2391,0.75
339	,2312.TW,金寶,16.2,-3.28,147762,0.75
340	,2367.TW,燿華,20.25,0.25,12628,0.75
341	,2892.TW,第一金,24.2,0.21,5373,0.75
342	,5880.TW,合庫金,25.05,0.2,4933,0.75
343	,2383.TW,台光電,276.5,-1.6,1754,0.75
344	,3532.TW,台勝科,304,3.23,5588,0.74
345	,2022.TW,聚亨,14.15,-1.05,2547,0.74
346	,2357.TW,華碩,370,-0.27,1378,0.74
347	,6108.TW,競國,22.25,-1.55,2200,0.74
348	,3169.TW,亞信,286,1.42,5740,0.73
349	,3419.TW,譁裕,25.6,-1.73,3095,0.73
350	,6485.TW,點序,148,-0.67,1153,0.73
351	,6163.TW,華電網,20.35,-0.49,1047,0.73
352	,2609.TW,陽明,122.5,0,25692,0.73
353	,2353.TW,宏碁,29.85,-0.33,7509,0.73
354	,2327.TW,國巨,473,-0.63,3478,0.73
355	,6188.TW,廣明,46.45,0.22,2741,0.73
356	,2354.TW,鴻準,64.6,0,1321,0.72
357	,2484.TW,希華,39.3,-1.01,2152,0.72
358	,3217.TW,優群,139,-4.14,5907,0.72
359	,8111.TW,立碁,29.95,-3.7,7940,0.72
360	,8261.TW,富鼎,108.5,-1.81,1741,0.71
361	,3702.TW,大聯大,51.2,0.59,3666,0.71
362	,2330.TW,台積電,604,-0.33,12009,0.71
363	,6176.TW,瑞儀,100.5,0.6,1884,0.71
364	,2349.TW,錸德,9.97,0,5898,0.7
365	,4744.TW,皇將,38.95,2.23,3166,0.7
366	,6111.TW,大宇資,96,-4.95,8238,0.7
367	,6235.TW,華孚,33,-4.35,17821,0.7
368	,1727.TW,中華化,49.4,-0.5,5539,0.7
369	,2451.TW,創見,73.8,-0.14,1625,0.7
370	,8933.TW,愛地雅,13.1,0,1722,0.69
371	,6603.TW,富強鑫,18.05,-1.37,1345,0.69
372	,2412.TW,中華電,115.5,0,7854,0.69
373	,3033.TW,威健,31.1,-1.89,10389,0.69
374	,2006.TW,東和鋼鐵,68.5,0.44,2430,0.69
375	,1444.TW,力麗,11.2,0.45,2033,0.69
376	,2014.TW,中鴻,42.55,-2.3,26407,0.68
377	,2637.TW,慧洋-KY,82.8,-0.36,5630,0.68
378	,2885.TW,元大金,25,0.2,6312,0.68
379	,2352.TW,佳世達,30.05,0,1927,0.67
380	,1560.TW,中砂,94.7,-0.53,5846,0.67
381	,3189.TW,景碩,238.5,0.42,5773,0.67
382	,6150.TW,撼訊,187.5,0.27,3917,0.67
383	,1229.TW,聯華,59.8,0,1694,0.66
384	,3046.TW,建碁,47,-8.74,2375,0.66
385	,4927.TW,泰鼎-KY,123,-4.65,15732,0.66
386	,6698.TW,旭暉應材,49.3,-3.33,1554,0.65
387	,2915.TW,潤泰全,96.3,2.01,5890,0.65
388	,3260.TW,威剛,90.5,-0.77,3238,0.65
389	,2375.TW,凱美,97.6,-1.11,2141,0.65
390	,1711.TW,永光,26.2,-0.19,5595,0.65
391	,3625.TW,西勝,26.15,-1.88,1745,0.65
392	,5608.TW,四維航,46.6,-0.53,3955,0.64
393	,1101.TW,台泥,47.9,0.42,6034,0.64
394	,3035.TW,智原,249,2.47,34388,0.64
395	,6164.TW,華興,16.1,-2.42,2508,0.64
396	,2886.TW,兆豐金,35.5,0,9629,0.63
397	,2444.TW,兆勁,14.55,-2.02,1124,0.63
398	,4141.TW,龍燈-KY,24.85,1.02,2413,0.63
399	,3034.TW,聯詠,530,-1.49,3987,0.63
400	,5388.TW,中磊,68.4,-1.87,1779,0.63
401	,6237.TW,驊訊,102,-0.97,1664,0.62
402	,2393.TW,億光,51.9,-0.19,1659,0.62
403	,6284.TW,佳邦,68.2,-0.58,1507,0.62
404	,1216.TW,統一,68.5,0.29,1501,0.62
405	,3499.TW,環天科,25.6,-0.78,3100,0.61
406	,3062.TW,建漢,30.7,-1.44,13206,0.6
407	,2408.TW,南亞科,75.7,-0.26,6948,0.6
408	,4934.TW,太極,34.15,-1.87,2114,0.6
409	,6226.TW,光鼎,16.45,2.49,3861,0.6
410	,2380.TW,虹光,16.5,-2.94,3237,0.59
411	,3710.TW,連展投控,9.86,-0.8,1015,0.59
412	,2465.TW,麗臺,85.8,-5.92,27047,0.59
413	,8155.TW,博智,167,3.09,5574,0.59
414	,2371.TW,大同,31.6,-0.16,14095,0.59
415	,8289.TW,泰藝,38.8,-0.51,1465,0.59
416	,3390.TW,旭軟,27.35,2.43,3192,0.58
417	,1513.TW,中興電,44.9,0.22,3610,0.58
418	,6279.TW,胡連,138,0.36,1320,0.58
419	,2890.TW,永豐金,15.95,-0.31,6813,0.58
420	,3003.TW,健和興,93,-2.21,2377,0.58
421	,6026.TW,福邦證,20.35,0.25,3896,0.58
422	,6278.TW,台表科,119.5,-0.83,2196,0.58
423	,6170.TW,統振,46.75,-0.11,1451,0.58
424	,2404.TW,漢唐,178,2.01,1334,0.57
425	,3706.TW,神達,33.8,-0.59,3972,0.57
426	,2009.TW,第一銅,43.75,-1.46,1582,0.57
427	,6265.TW,方土昶,17.8,-0.56,2349,0.57
428	,3491.TW,昇達科,211,-1.17,1710,0.56
429	,3552.TW,同致,176.5,-2.22,1585,0.56
430	,2308.TW,台達電,270.5,0.19,2161,0.56
431	,2332.TW,友訊,18.6,-2.11,2705,0.56
432	,2376.TW,技嘉,156,0.65,5889,0.56
433	,2456.TW,奇力新,93.4,-0.64,1086,0.56
434	,6672.TW,騰輝電子-KY,132.5,-1.49,1211,0.55
435	,3290.TW,東浦,22.5,-0.22,1219,0.55
436	,6531.TW,愛普*,496,-0.6,3137,0.55
437	,6411.TW,晶焱,239,-1.44,2969,0.55
438	,1326.TW,台化,80.4,0,1202,0.54
439	,8046.TW,南電,567,-1.05,2682,0.54
440	,3707.TW,漢磊,136,-1.45,4759,0.54
441	,8299.TW,群聯,487.5,-0.41,2668,0.54
442	,1806.TW,冠軍,12.5,0.81,2158,0.53
443	,4956.TW,光鋐,26.75,1.13,1217,0.53
444	,3362.TW,先進光,80.1,-2.32,2258,0.53
445	,6104.TW,創惟,199,-3.4,12880,0.53
446	,2476.TW,鉅祥,77.7,-0.26,32020,0.53
447	,2504.TW,國產,29,0,2974,0.53
448	,3083.TW,網龍,55,-1.08,1353,0.52
449	,3694.TW,海華,27.65,-2.3,1830,0.52
450	,2606.TW,裕民,62,-1.59,12164,0.52
451	,6125.TW,廣運,26.45,0,1394,0.51
452	,6271.TW,同欣電,293.5,-0.17,1853,0.51
453	,2486.TW,一詮,52.1,-0.57,2319,0.5
454	,2031.TW,新光鋼,59,-1.67,2021,0.5
455	,1440.TW,南紡,25.75,-0.77,16774,0.5
456	,8070.TW,長華*,34.35,-0.29,2487,0.5
457	,5483.TW,中美晶,228.5,-0.22,7101,0.5
458	,2323.TW,中環,9.17,0.44,6427,0.5
459	,5452.TW,佶優,22.8,-3.8,3449,0.49
460	,8027.TW,鈦昇,76.9,-0.77,1106,0.49
461	,3037.TW,欣興,239,-0.42,26941,0.48
462	,2449.TW,京元電子,43.8,0.57,3462,0.48
463	,2338.TW,光罩,99,-1,4824,0.48
464	,8358.TW,金居,78.4,0,5854,0.48
465	,2342.TW,茂矽,49.7,-1,11739,0.48
466	,2891.TW,中信金,25.85,-0.19,11731,0.46
467	,2002.TW,中鋼,35.55,0.14,26979,0.46
468	,1434.TW,福懋,29.4,2.8,9529,0.46
469	,3010.TW,華立,104.5,0,2734,0.46
470	,5876.TW,上海商銀,47.4,0,1147,0.45
471	,2436.TW,偉詮電,95.4,-0.62,5498,0.45
472	,3518.TW,柏騰,24.35,-3.37,1405,0.45
473	,6205.TW,詮欣,74.4,-0.27,5164,0.45
474	,5011.TW,久陽,33.85,0.3,1669,0.44
475	,2345.TW,智邦,259,-0.38,1079,0.44
476	,3596.TW,智易,124.5,0,3815,0.44
477	,3413.TW,京鼎,243,0,1116,0.44
478	,2421.TW,建準,42,-1.18,1496,0.44
479	,1802.TW,台玻,26.6,0.19,3371,0.43
480	,3018.TW,同開,20.9,-1.42,1716,0.43
481	,8086.TW,宏捷科,141.5,0.35,1704,0.43
482	,2347.TW,聯強,66.5,-1.77,6935,0.42
483	,2385.TW,群光,82.2,0,1155,0.42
484	,6213.TW,聯茂,135,-2.17,5368,0.41
485	,6182.TW,合晶,82.5,-0.84,17025,0.4
486	,3588.TW,通嘉,145,-1.69,1316,0.4
487	,3042.TW,晶技,106.5,-1.84,5501,0.39
488	,2301.TW,光寶科,62.7,0.32,2363,0.39
489	,8215.TW,明基材,38.3,-0.65,3497,0.39
490	,3047.TW,訊舟,13.05,-1.51,4118,0.38
